Protein,Stability,Time,Algorithm
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-14,11.39281253000081,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-13,11.053076879994478,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-11,11.204104039003141,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-9,11.169073058998038,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-8,11.195138821996807,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-12,11.024895276997995,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-11,11.19589233300212,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-10,11.084891483005777,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-10,11.128929006001272,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-14,11.162878928000282,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-14,11.192969805000757,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-10,11.043657999005518,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-16,11.134521141997539,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-11,11.009011337999254,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-11,11.246256705002452,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-11,11.017682562000118,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-15,10.96548471099959,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-15,11.210785431001568,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-13,11.24949079399812,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-11,11.335225857998012,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-13,11.106674335002026,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-15,11.303757391004183,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-14,12.231973611997091,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-10,12.78156544000376,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-14,12.319810018998396,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-9,11.56627274800121,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-13,11.183642127005442,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-12,11.396456692003994,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-10,11.525760853997781,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-10,11.359083351999288,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-13,11.227590444002999,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-8,11.248259435000364,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-13,10.939745774994662,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-10,11.488986030999513,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-10,11.04823807199864,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-13,11.045872994000092,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-10,11.085240499000065,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-10,10.995722407002177,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-9,11.127729394000198,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-13,11.278089016996091,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-10,11.187058303003141,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-15,11.147888211002282,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-10,10.96405865700217,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-10,11.394256327999756,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-13,11.401887382002315,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-9,11.302117138999165,SimulatedAnnealing9
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-10,11.512653466001211,SimulatedAnnealing9
