Protein,Stability,Time,Algorithm
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-14,29.143721350992564,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-11,17.53169510400039,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-12,21.711870010010898,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-21,22.3640259510139,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-14,21.941184558003442,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-17,24.628506802022457,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-16,21.44266605001758,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-27,27.73673509899527,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-22,27.29434869400575,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-15,23.612743667996256,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-19,24.26078128698282,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-14,16.766212035989156,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-23,25.036153319990262,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-21,28.495223781006644,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-17,22.586544249992585,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-13,26.396909896982834,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-18,25.77956148600788,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-16,15.24812460099929,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-13,24.275159210985294,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-20,24.78594151197467,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-17,17.644717035000212,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-16,16.735076091019437,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-25,28.694658473978052,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-17,26.187012363021495,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-20,25.39969406000455,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-14,21.502017913997406,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-13,27.43086434502038,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-13,21.53166371799307,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-15,26.377399632998277,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-11,16.316078563017072,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-10,15.553797753003892,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-15,25.445943124010228,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-19,24.395564328995533,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-19,25.146898849023273,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-18,25.51360162999481,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-17,18.899767849012278,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-20,20.234194016986294,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-20,23.64727860299172,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-20,28.601006443990627,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-16,19.981484513002215,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-14,18.21987573200022,Genetic
PPCHHPPCHPPPPCHHHHCHHPPHHPPPPHHPPHPP,-17,25.933111221995205,Genetic
